壼,壸
壽,寿
夘,卯
夠,够
夢,梦
夥,伙
夾,夹
奐,奂
奧,奥
奩,奁
奪,夺
奬,奖
奮,奋
奼,姹
妝,妆
妬,妒
妳,你
妷,侄
姉,姊
姍,姗
姙,妊
姦,奸
姪,侄
姸,妍
娙,𫰛
娛,娱
婁,娄
婣,姻
婦,妇
婬,淫
婭,娅
媍,妇
媧,娲
媯,妫
媰,㛀
媼,媪
媽,妈
媿,愧
嫋,袅
嫗,妪
嫰,嫩
嫵,妩
嫺,娴
嫻,娴
嫿,婳
嬀,妫
嬃,媭
嬈,娆
嬋,婵
嬌,娇
嬙,嫱
嬝,袅
嬡,嫒
嬤,嬷
嬪,嫔
嬭,奶
嬰,婴
嬸,婶
嬾,懒
孃,娘
孋,㛤
孌,娈
孫,孙
學,学
孼,孽
孿,孪
宂,冗
宮,宫
寀,采
寃,冤
寑,寝
寢,寝
實,实
寧,宁
審,审
寫,写
寬,宽
寳,宝
寵,宠
寶,宝
尅,克
將,将
專,专
尋,寻
對,对
導,导
尒,尔
尙,尚
尟,鲜
尠,鲜
尷,尴
屆,届
屍,尸
屓,屃
屛,屏
屜,屉
屢,屡
層,层
屨,屦
屩,𪨗
屬,属
屭,屃
岅,坂
岡,冈
峝,峒
峴,岘
島,岛
峽,峡
崍,崃
崑,昆
崗,岗
崙,仑
崢,峥
崬,岽
嵐,岚
嵗,岁
嵼,𡶴
嵽,𫶇
嶁,嵝
嶃,崭
嶄,崭
嶇,岖
嶔,嵚
嶗,崂
嶠,峤
嶢,峣
嶧,峄
嶨,峃
嶮,崄
嶸,嵘
嶺,岭
嶼,屿
嶽,岳
巋,岿
巒,峦
巔,巅
巖,岩
巗,岩
巘,𪩘
巠,𢀖
巰,巯
巵,卮
帀,匝
帋,纸
帥,帅
師,师
帬,裙
帳,帐
帶,带
幀,帧
幃,帏
幇,帮
幑,徽
幗,帼
幘,帻
幙,幕
幚,帮
幟,帜
幣,币
幫,帮
幬,帱
幹,干
幾,几
庫,库
庻,庶
庽,寓
廁,厕
廂,厢
廄,厩
廈,厦
廎,庼
廐,厩
廕,荫
廚,厨
廝,厮
廞,𫷷
廟,庙
廠,厂
廡,庑
廢,废
廣,广
廩,廪
廬,庐
廳,厅
廵,巡
廹,迫
廻,回
弒,弑
弔,吊
弳,弪
張,张
強,强
彄,𫸩
彆,别
彈,弹
彌,弥
彎,弯
彙,汇
彞,彝
彠,彟
彥,彦
彫,雕
彲,彨
徃,往
後,后
徑,径
從,从
徠,徕
徧,遍
復,复
徵,征
徹,彻
怱,匆
怳,恍
恆,恒
恠,怪
恡,吝
恥,耻
悅,悦
悞,悮
悤,匆
悵,怅
悶,闷
悽,凄
惏,婪
惡,恶
惥,恿
惱,恼
惲,恽
惷,蠢
惻,恻
愛,爱
愜,惬
愨,悫
愴,怆
愷,恺
愽,博
愾,忾
慄,栗
態,态
慍,愠
慘,惨
慙,惭
慚,惭
慟,恸
慣,惯
慤,悫
慪,怄
慫,怂
慮,虑
慳,悭
慴,慑
慶,庆
慼,戚
慽,戚
慾,欲
憂,忧
憇,憩
憊,惫
憐,怜
憑,凭
憒,愦
憚,惮
憤,愤
憫,悯
憮,怃
憲,宪
憶,忆
懀,𢙓
懇,恳
應,应
懌,怿
懍,懔
懟,怼
懣,懑
懨,恹
懲,惩
懶,懒
懷,怀
懸,悬
懺,忏
懼,惧
懾,慑
戀,恋
戇,戆
戔,戋
戞,戛
戧,戗
戩,戬
戯,戏
戰,战
戱,戯
戲,戏
戶,户
戹,厄
扞,捍
抝,拗
拋,抛
拚,拼
挩,捝
挱,挲
挵,弄
挾,挟
捄,救
捨,舍
捫,扪
捲,卷
掃,扫
掄,抡
掆,㧏
掗,挜
掙,挣
掛,挂
採,采
掽,碰
揀,拣
揑,捏
揚,扬
換,换
揫,揪
揮,挥
揷,插
揹,背
搆,构
搇,揿
搉,榷
損,损
搖,摇
搗,捣
搤,扼
搥,捶
搨,拓
搯,掏
搵,揾
搶,抢
搾,榨
摃,扛
摋,𢫬
摑,掴
摜,掼
摟,搂
摯,挚
摳,抠
摶,抟
摺,折
摻,掺
撈,捞
撏,挦
撐,撑
撓,挠
撝,㧑
撟,挢
撡,操
撣,掸
撥,拨
撦,扯
撫,抚
撲,扑
撳,揿
撻,挞
撾,挝
撿,捡
擁,拥
擄,掳
擇,择
擊,击
擋,挡
擓,㧟
擔,担
擕,携
據,据
擠,挤
擣,𢭏
擧,举
擬,拟
擯,摈
擰,拧
擱,搁
擲,掷
擴,扩
擷,撷
擺,摆
擻,擞
擼,撸
擽,㧰
擾,扰
攄,摅
攆,撵
攏,拢
攔,拦
攖,撄
攙,搀
攛,撺
攜,携
攝,摄
攢,攒
攣,挛
攤,摊
攩,挡
攪,搅
攬,揽
攷,考
敂,叩
敍,叙
敗,败
敘,叙
敵,敌
數,数
敺,驱
斂,敛
斃,毙
斅,𢽾
斆,敩
斕,斓
斬,斩
斷,断
於,于
旂,旗
旣,既
旤,祸
旹,时
旾,春
昬,昏
時,时
晉,晋
晛,𬀪
晝,昼
暈,晕
暉,晖
暐,𬀩
暘,旸
暢,畅
暫,暂
暱,昵
曄,晔
曆,历
曇,昙
曉,晓
曖,暧
曠,旷
曡,叠
曥,𣆐
曨,昽
曬,晒
書,书
會,会
朞,期
朢,望
朥,𦛨
朧,胧
朮,术
朶,朵
東,东
杴,锨
枱,台
柵,栅
柺,拐
査,查
栁,柳
栞,刊
栢,柏
栰,筏
桒,桑
桮,杯
桺,柳
桿,杆
梔,栀
梘,枧
梜,𬂩
條,条
梟,枭
梲,棁
棄,弃
棊,棋
棖,枨
棗,枣
棟,栋
棡,㭎
棧,栈
棲,栖
棶,梾
椏,桠
椗,碇
椲,㭏
椶,棕
椷,缄
椾,笺
楊,杨
楓,枫
楥,楦
楨,桢
業,业
極,极
榦,干
榪,杩
榮,荣
榲,榅
榿,桤
構,构
槍,枪
槓,杠
槕,桌
槤,梿
槧,椠
槨,椁
槮,椮
槳,桨
槶,椢
槼,椝
樁,桩
樂,乐
樅,枞
樑,梁
樓,楼
標,标
樞,枢
樢,㭤
樣,样
樫,㭴
樳,桪
樸,朴
樹,树
樺,桦
樿,椫
橈,桡
橋,桥
橜,橛
機,机
橢,椭
橫,横
檁,檩
檉,柽
檔,档
檜,桧
檟,槚
檢,检
檣,樯
檭,𣘴
檮,梼
檯,台
檳,槟
檸,柠
檻,槛
櫃,柜
櫈,凳
櫍,𬃊
櫓,橹
櫚,榈
櫛,栉
櫝,椟
櫞,橼
櫟,栎
櫥,橱
櫧,槠
櫨,栌
櫪,枥
櫫,橥
櫬,榇
櫱,蘖
櫳,栊
櫸,榉
櫻,樱
欄,栏
欅,榉
權,权
欍,𣐤
欏,椤
欒,栾
欓,𣗋
欖,榄
欝,郁
欞,棂
欵,款
欽,钦
歎,叹
歐,欧
歛,敛
歟,欤
歡,欢
歲,岁
歴,历
歷,历
歸,归
歿,殁
殀,夭
殘,残
殞,殒
殤,殇
殨,㱮
殫,殚
殭,僵
殮,殓
殯,殡
